discriminant,regime_code,k,fd_price,implied_vol
-1.600000000000000033e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,6.500632144594270523e-01,2.606495078310980817e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,-9.166666666666666297e-01,6.196522365540126920e-01,2.408549747746707992e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,-8.333333333333333703e-01,5.865985857947726423e-01,2.227998896284509034e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,-7.500000000000000000e-01,5.506733888228485529e-01,2.103320850208937609e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,-6.666666666666667407e-01,5.116309856357857955e-01,2.049697894288135536e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,-5.833333333333333703e-01,4.692171975039800547e-01,2.030164520756126134e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,-5.000000000000000000e-01,4.232009015266634533e-01,2.020560358316045024e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,-4.166666666666667407e-01,3.734642253397172373e-01,2.014116363216980066e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,-3.333333333333333703e-01,3.202038383076981076e-01,2.009223102814250150e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.500000000000000000e-01,2.642694933285502645e-01,2.005482696006749554e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,-1.666666666666667407e-01,2.075417180255365313e-01,2.002791113323089400e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,-8.333333333333337034e-02,1.530561883511454557e-01,2.001121403090919681e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,0.000000000000000000e+00,1.045233928270650342e-01,2.000467886717591515e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,8.333333333333325932e-02,6.522569163827564298e-02,2.001230711710636490e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,1.666666666666665186e-01,3.674860409435130176e-02,2.003004144201206427e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,2.500000000000000000e-01,1.851125797204546466e-02,2.005780629533534531e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,3.333333333333332593e-01,8.276380840229687758e-03,2.009550935322098331e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,4.166666666666665186e-01,3.268701902360557528e-03,2.014304088391432324e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,5.000000000000000000e-01,1.137548650628460558e-03,2.020027447271983689e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,5.833333333333332593e-01,3.486973188113296298e-04,2.026706819344594734e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,6.666666666666665186e-01,9.427676356634853987e-05,2.034326586939378401e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,7.500000000000000000e-01,2.254648089431749800e-05,2.042869829722153974e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,8.333333333333332593e-01,4.789013873254607986e-06,2.052318440797253618e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,9.166666666666665186e-01,9.080616833556736445e-07,2.062653238706075032e-01
-1.600000000000000033e-02,-1.000000000000000000e+00,1.000000000000000000e+00,1.546105241682151328e-07,2.073854078622071051e-01
1.734723475976807094e-18,0.000000000000000000e+00,-1.000000000000000000e+00,6.500630621500423922e-01,2.583115234677197392e-01
1.734723475976807094e-18,0.000000000000000000e+00,-9.166666666666666297e-01,6.196520812722903226e-01,2.387063824879779306e-01
1.734723475976807094e-18,0.000000000000000000e+00,-8.333333333333333703e-01,5.865985360396822612e-01,2.222851316386447729e-01
1.734723475976807094e-18,0.000000000000000000e+00,-7.500000000000000000e-01,5.506746966193957205e-01,2.159438155980893947e-01
1.734723475976807094e-18,0.000000000000000000e+00,-6.666666666666667407e-01,5.116421282208267751e-01,2.174896954376312197e-01
1.734723475976807094e-18,0.000000000000000000e+00,-5.833333333333333703e-01,4.692785426756080347e-01,2.210883772982162598e-01
1.734723475976807094e-18,0.000000000000000000e+00,-5.000000000000000000e-01,4.234557500802522689e-01,2.250899135648847249e-01
1.734723475976807094e-18,0.000000000000000000e+00,-4.166666666666667407e-01,3.743015140468705093e-01,2.291865586573696434e-01
1.734723475976807094e-18,0.000000000000000000e+00,-3.333333333333333703e-01,3.224363294261418100e-01,2.333144472178730056e-01
1.734723475976807094e-18,0.000000000000000000e+00,-2.500000000000000000e-01,2.691866743210548085e-01,2.374572323143626651e-01
1.734723475976807094e-18,0.000000000000000000e+00,-1.666666666666667407e-01,2.166072780322619573e-01,2.416095527614093852e-01
1.734723475976807094e-18,0.000000000000000000e+00,-8.333333333333337034e-02,1.671931716728272954e-01,2.457690935996308668e-01
1.734723475976807094e-18,0.000000000000000000e+00,0.000000000000000000e+00,1.233352266032818889e-01,2.499345626803476661e-01
1.734723475976807094e-18,0.000000000000000000e+00,8.333333333333325932e-02,8.675794167697348236e-02,2.541361327844027240e-01
1.734723475976807094e-18,0.000000000000000000e+00,1.666666666666665186e-01,5.813048039064799138e-02,2.583389971235537930e-01
1.734723475976807094e-18,0.000000000000000000e+00,2.500000000000000000e-01,3.710406558433461399e-02,2.625428158237107512e-01
1.734723475976807094e-18,0.000000000000000000e+00,3.333333333333332593e-01,2.258498633944945599e-02,2.667473556945139657e-01
1.734723475976807094e-18,0.000000000000000000e+00,4.166666666666665186e-01,1.313299238600757965e-02,2.709524596260304841e-01
1.734723475976807094e-18,0.000000000000000000e+00,5.000000000000000000e-01,7.311951319922644493e-03,2.751580259694020869e-01
1.734723475976807094e-18,0.000000000000000000e+00,5.833333333333332593e-01,3.907939911660635035e-03,2.793639937549636243e-01
1.734723475976807094e-18,0.000000000000000000e+00,6.666666666666665186e-01,2.010506723589259269e-03,2.835703317468670215e-01
1.734723475976807094e-18,0.000000000000000000e+00,7.500000000000000000e-01,9.984760744673540356e-04,2.877770302092780286e-01
1.734723475976807094e-18,0.000000000000000000e+00,8.333333333333332593e-01,4.800382072562634894e-04,2.919840946830259409e-01
1.734723475976807094e-18,0.000000000000000000e+00,9.166666666666665186e-01,2.240413162418944794e-04,2.961915412771416456e-01
1.734723475976807094e-18,0.000000000000000000e+00,1.000000000000000000e+00,1.017802146966750209e-04,3.003993931290312447e-01
4.000000000000010492e-04,1.000000000000000000e+00,-1.000000000000000000e+00,6.500687723717020194e-01,2.912077604940754849e-01
4.000000000000010492e-04,1.000000000000000000e+00,-9.166666666666666297e-01,6.196766437487166712e-01,2.953184047469231688e-01
4.000000000000010492e-04,1.000000000000000000e+00,-8.333333333333333703e-01,5.866863166802021023e-01,3.000634017241466944e-01
4.000000000000010492e-04,1.000000000000000000e+00,-7.500000000000000000e-01,5.509462890920743261e-01,3.049796971405584478e-01
4.000000000000010492e-04,1.000000000000000000e+00,-6.666666666666667407e-01,5.123802653678014574e-01,3.099484802953416107e-01
4.000000000000010492e-04,1.000000000000000000e+00,-5.833333333333333703e-01,4.710537683278957499e-01,3.149358987868181581e-01
4.000000000000010492e-04,1.000000000000000000e+00,-5.000000000000000000e-01,4.272507041956005724e-01,3.199310365659346900e-01
4.000000000000010492e-04,1.000000000000000000e+00,-4.166666666666667407e-01,3.815368331593564366e-01,3.249298895110379060e-01
4.000000000000010492e-04,1.000000000000000000e+00,-3.333333333333333703e-01,3.347812037142796626e-01,3.299307790935649964e-01
4.000000000000010492e-04,1.000000000000000000e+00,-2.500000000000000000e-01,2.881135137989919714e-01,3.349328995642480433e-01
4.000000000000010492e-04,1.000000000000000000e+00,-1.666666666666667407e-01,2.428146655332002468e-01,3.399358110750006490e-01
4.000000000000010492e-04,1.000000000000000000e+00,-8.333333333333337034e-02,2.001614015177897721e-01,3.449392456049452105e-01
4.000000000000010492e-04,1.000000000000000000e+00,0.000000000000000000e+00,1.612626789628528734e-01,3.499430255086224406e-01
4.000000000000010492e-04,1.000000000000000000e+00,8.333333333333325932e-02,1.269366652320976507e-01,3.549692939766698752e-01
4.000000000000010492e-04,1.000000000000000000e+00,1.666666666666665186e-01,9.761127740443037437e-02,3.599937995101160637e-01
4.000000000000010492e-04,1.000000000000000000e+00,2.500000000000000000e-01,7.334747912172139006e-02,3.650165875070481292e-01
4.000000000000010492e-04,1.000000000000000000e+00,3.333333333333332593e-01,5.388490831942573805e-02,3.700377209808576318e-01
4.000000000000010492e-04,1.000000000000000000e+00,4.166666666666665186e-01,3.873104999180675134e-02,3.750572745107825234e-01
4.000000000000010492e-04,1.000000000000000000e+00,5.000000000000000000e-01,2.726104378137166051e-02,3.800753299073980629e-01
4.000000000000010492e-04,1.000000000000000000e+00,5.833333333333332593e-01,1.880815923257718458e-02,3.850919730371164529e-01
4.000000000000010492e-04,1.000000000000000000e+00,6.666666666666665186e-01,1.273305924861250008e-02,3.901072914732682251e-01
4.000000000000010492e-04,1.000000000000000000e+00,7.500000000000000000e-01,8.468046741514500750e-03,3.951213727587629121e-01
4.000000000000010492e-04,1.000000000000000000e+00,8.333333333333332593e-01,5.538444706124820080e-03,4.001343031315115484e-01
4.000000000000010492e-04,1.000000000000000000e+00,9.166666666666665186e-01,3.566456648547672564e-03,4.051461666040726550e-01
4.000000000000010492e-04,1.000000000000000000e+00,1.000000000000000000e+00,2.263680237041455594e-03,4.101570443167497637e-01
